FilePath,ExportedComponents,LOC,UsesTokens,HasStory,HasTests,ImportCount,LastCommit,CommitHash
frontend/src/stories/M3Card.stories.tsx,AllShapes; Default; GemVariant; LeafVariant; TechVariant,127,no,no,no,0,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/stories/Dashboard.stories.tsx,AnimatedEntry; Default; MobileView; TabletView,61,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/stories/M3ErrorAlert.stories.tsx,Default; FullFeatured; LongMessage; WithRetry,48,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/M3Select.stories.tsx,Default; Disabled; ErrorState; FullWidth; SelectedValue; WithHelperText,99,no,no,no,0,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/stories/ApplicationCard.stories.tsx,CustomSteps; Initial; Interviewing; OfferReceived,61,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/M3Checkbox.stories.tsx,Checkbox; Indeterminate; MixedStates; RadioButtons; SelectionError,73,no,no,no,0,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/stories/AuthPages.stories.tsx,LoginPage; MobileLogin; RegisterPage,27,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/M3Alert.stories.tsx,AllTypes; ErrorState; Info; Success; Variants; Warning,81,no,no,no,0,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/stories/IngestionPage.stories.tsx,ErrorState; Idle; LoadingStages; SelectedFiles; ValidationStep,150,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/stories/M3Button.stories.tsx,AllVariants; Elevated; ErrorState; Filled; Loading; Outlined; Text; Tonal; WithIcons,122,no,no,no,0,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/stories/Opportunities.stories.tsx,Default; ErrorState; ResultsFound; Scouting,63,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/StatusBadge.stories.tsx,AllVariants; Default; Outline; Primary; Secondary; Tertiary,69,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/JobQueue.stories.tsx,ActionStates; Default; Empty; ErrorState; Loading,132,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/Analysis.stories.tsx,AnalysisComplete; Analyzing; InitialState; MobileView; WithVerifiedSources,65,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/layouts/Layout.stories.tsx,DashboardMock; EmptyPage,67,no,no,no,0,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/layouts/GalleryShell/GalleryShell.tsx,GalleryShell,79,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/layouts/GalleryShell/views/GalleryPlaceholders.tsx,GalleryAuth; GalleryDashboard; GalleryKanban; GalleryOnboarding; GalleryPlaceholders,19,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/layouts/LaboratoryShell/LayoutShell.tsx,LayoutShell,46,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/pages/JobQueue.test.tsx,,192,no,no,no,0,2026-01-03,87c29c7a4921cd5255089e13eea722e42f61d865
